cod ISTAT;nome;PM10 media annua  (µg/m3) MIN;PM10 media annua  (µg/m3) MED;PM10 media annua  (µg/m3) MAX;PM10 n° sup. giornalieri VL=50 µg/m3 MIN;PM10 n° sup. giornalieri VL=50 µg/m3 MED;PM10 n° sup. giornalieri VL=50 µg/m3 MAX;PM2.5 media annua (µg/m3) MIN;PM2.5 media annua (µg/m3) MED;PM2.5 media annua (µg/m3) MAX;NO2 media annua  (µg/m3) MIN;NO2 media annua  (µg/m3) MED;NO2 media annua  (µg/m3) MAX;NO2 n° sup. orari VL=200 µg/m3 MIN;NO2 n° sup. orari VL=200 µg/m3 MED;NO2 n° sup. orari VL=200 µg/m3 MAX;BENZENE media annua (µg/m3) MIN;BENZENE media annua (µg/m3) MED;BENZENE media annua (µg/m3) MAX;CO n° sup. max media 8ore VL=10 mg/m3 MIN;CO n° sup. max media 8ore VL=10 mg/m3 MED;CO n° sup. max media 8ore VL=10 mg/m3 MAX;SO2 n° sup. giornalieri VL=125 µg/m3 MIN;SO2 n° sup. giornalieri VL=125 µg/m3 MED;SO2 n° sup. giornalieri VL=125 µg/m3 MAX;O3 n° sup. max media 8ore VL=120 µg/m3 MIN;O3 n° sup. max media 8ore VL=120 µg/m3 MED;O3 n° sup. max media 8ore VL=120 µg/m3 MAX
cod ISTAT;nome;MIN;MED;MAX;MIN;MED;MAX;MIN;MED;MAX;MIN;MED;MAX;MIN;MED;MAX;MIN;MED;MAX;MIN;MED;MAX;MIN;MED;MAX;MIN;MED;MAX
12056048;Soriano nel Cimino;12;15;16;0;0;0;8;11;11;13;16;19;0;0;0;0.5;0.6;0.9;0;0;0;0;0;0;0;0;2
12059030;Sperlonga;21;22;23;4;5;7;8;8;9;18;20;22;0;0;0;0.3;0.3;0.4;0;0;0;0;0;0;8;13;19
12059031;Spigno Saturnia;5;9;13;0;0;0;4;7;10;1;9;18;0;0;0;0.2;0.3;0.4;0;0;0;0;0;0;11;36;52
12057066;Stimigliano;16;16;17;0;0;0;11;11;11;14;16;21;0;0;0;0.5;0.5;0.6;0;0;0;0;0;0;8;10;11
12060075;Strangolagalli;26;27;27;33;34;35;8;9;9;18;19;19;0;0;0;0.6;0.6;0.7;0;0;0;0;0;0;18;19;20
12058103;Subiaco;5;8;13;0;0;0;4;6;8;2;6;13;0;0;0;0.2;0.2;0.3;0;0;0;0;0;0;16;25;28
12060076;Supino;4;13;25;0;7;29;3;7;13;2;14;31;0;0;0;0.2;0.6;1.5;0;0;0;0;0;0;0;5;15
12056049;Sutri;14;15;17;0;0;0;9;10;11;10;12;13;0;0;0;0.3;0.4;0.4;0;0;0;0;0;0;0;0;1
12057067;Tarano;14;15;16;0;0;0;10;10;11;12;13;17;0;0;0;0.4;0.5;0.6;0;0;0;0;0;0;11;11;13
12056050;Tarquinia;13;15;17;0;0;0;8;8;9;5;6;9;0;0;0;0.3;0.3;0.3;0;0;0;0;0;0;1;11;44
12060077;Terelle;4;7;15;0;1;9;3;5;10;2;6;21;0;0;0;0.1;0.2;0.3;0;0;0;0;0;0;1;9;31
12059032;Terracina;19;22;24;0;3;8;8;9;11;9;13;15;0;0;0;0.3;0.3;0.3;0;0;0;0;0;0;0;3;26
12056051;Tessennano;14;15;16;0;0;0;8;9;9;6;7;8;0;0;0;0.3;0.3;0.3;0;0;0;0;0;0;2;2;5
12058104;Tivoli;10;14;21;0;1;9;8;11;17;14;23;41;0;0;0;0.4;0.6;1.5;0;0;0;0;0;0;25;42;52
12057068;Toffia;13;14;14;0;0;0;9;10;10;12;13;13;0;0;0;0.3;0.3;0.4;0;0;0;0;0;0;17;18;19
12058105;Tolfa;14;15;17;0;0;1;8;9;9;6;9;15;0;0;0;0.3;0.3;0.4;0;0;0;0;0;0;0;6;19
12060078;Torre Cajetani;7;12;15;0;0;0;4;6;7;8;14;18;0;0;0;0.2;0.2;0.3;0;0;0;0;0;0;6;7;9
12057070;Torri in Sabina;13;15;16;0;0;0;9;10;11;12;13;14;0;0;0;0.4;0.4;0.5;0;0;0;0;0;0;11;13;17
12060079;Torrice;22;25;30;17;31;50;10;11;14;22;24;26;0;0;0;1.2;1.4;1.6;0;0;0;0;0;0;13;15;16
12057069;Torricella in Sabina;10;13;14;0;0;1;8;9;10;8;12;14;0;0;0;0.3;0.4;0.7;0;0;0;0;0;0;11;13;14
12058106;Torrita Tiberina;16;16;17;0;0;0;11;11;11;14;17;24;0;0;0;0.4;0.5;0.6;0;0;0;0;0;0;8;13;15
12060080;Trevi nel Lazio;4;6;9;0;0;0;3;4;6;2;6;9;0;0;0;0.1;0.2;0.2;0;0;0;0;0;0;2;7;12
12058107;Trevignano Romano;14;15;16;0;0;0;9;9;10;10;11;12;0;0;0;0.3;0.4;0.4;0;0;0;0;0;0;0;3;8
12060081;Trivigliano;15;16;17;0;1;1;7;7;7;18;20;21;0;0;0;0.3;0.3;0.4;0;0;0;0;0;0;5;7;8
12057071;Turania;8;8;8;0;0;0;6;6;7;6;7;8;0;0;0;0.2;0.3;0.3;0;0;0;0;0;0;13;14;15
12056052;Tuscania;13;15;16;0;0;0;8;9;9;5;8;11;0;0;0;0.3;0.3;0.5;0;0;0;0;0;0;0;2;8
12057072;Vacone;13;14;14;0;0;0;9;10;10;12;12;13;0;0;0;0.5;0.5;0.5;0;0;0;0;0;0;13;13;17
12056053;Valentano;13;15;16;0;0;0;9;9;9;4;6;7;0;0;0;0.3;0.3;0.3;0;0;0;0;0;0;2;3;4
12060082;Vallecorsa;9;12;17;0;0;0;5;5;6;7;10;13;0;0;0;0.2;0.3;0.4;0;0;0;0;0;0;7;14;23
12060083;Vallemaio;7;9;10;0;1;2;5;6;7;5;10;12;0;0;0;0.2;0.2;0.2;0;0;0;0;0;0;11;20;29
12058108;Vallepietra;5;6;7;0;0;0;4;4;5;2;2;4;0;0;0;0.2;0.2;0.2;0;0;0;0;0;0;12;16;22
12056054;Vallerano;12;15;17;0;0;0;9;10;11;13;14;15;0;0;0;0.4;0.5;0.5;0;0;0;0;0;0;0;0;1
12060084;Vallerotonda;4;5;8;0;0;0;3;4;6;1;3;9;0;0;0;0.2;0.2;0.4;0;0;0;0;0;0;2;4;8
12058109;Vallinfreda;8;9;9;0;0;0;6;7;7;7;10;12;0;0;0;0.3;0.3;0.3;0;0;0;0;0;0;15;17;18
12058110;Valmontone;20;24;29;2;12;31;10;12;15;22;33;46;0;0;0;0.5;0.8;1.3;0;0;0;0;0;0;2;11;19
12057073;Varco Sabino;7;8;9;0;0;0;6;7;7;5;6;6;0;0;0;0.2;0.2;0.2;0;0;0;0;0;0;11;11;15
12056055;Vasanello;15;16;17;0;0;1;11;11;12;15;16;20;0;0;0;0.5;0.6;0.8;0;0;0;0;0;0;0;1;5
12056056;Vejano;14;14;15;0;0;0;8;9;9;8;10;13;0;0;0;0.3;0.3;0.4;0;0;0;0;0;0;0;1;5
12058111;Velletri;8;14;20;0;0;5;5;8;14;7;17;22;0;0;0;0.2;0.3;0.4;0;0;0;0;0;0;3;10;32
12060085;Veroli;3;12;25;0;3;32;3;6;13;1;14;29;0;0;0;0.1;0.4;1.3;0;0;0;0;0;0;1;10;18
